material_id,formula_pretty,energy_per_atom,formation_energy_per_atom,energy_above_hull,band_gap,is_gap_direct,density,volume,nsites,theoretical,deprecated,elements,num_elements,crystal_system,spacegroup_number,spacegroup_symbol,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma
mp-1229171,Ag6S2IBr,-3.13384903,-0.28451096549999805,0.081145324999997,0.5861000000000001,False,6.288392755380496,242.44988095539424,10,True,False,"Ag,Br,I,S",4,Orthorhombic,42,Fmm2,6.991657120384837,6.938157942958996,6.938157942958996,88.65083700283124,61.02083302570141,118.9791669742986
mp-556434,AgBi(PS3)2,-14.945477898499998,-0.33882521078273803,0.0,1.183799999999999,False,4.147865928609672,457.3324642244417,20,False,False,"Ag,Bi,P,S",4,Triclinic,2,P-1,6.4432323606361575,7.309027292053072,9.78534094595244,93.68614277581976,90.38026852442232,95.97870263874294
mp-569126,AgBi(PSe3)2,-4.319819855,-0.46588106450148803,0.0,1.2778,False,4.996191648875751,566.7127483749094,20,False,False,"Ag,Bi,P,Se",4,Trigonal,148,R-3,14.861635384210784,14.861635384210784,14.861635414442718,26.272249504813608,26.272249504813608,26.27225132808178
mp-1228964,AlAg(PSe3)2,-4.426495843,-0.5870029005014871,0.0,1.6205999999999992,False,4.385035805906184,253.9287203629912,10,True,False,"Ag,Al,P,Se",4,Monoclinic,5,C2,6.430891208097677,6.430891208097677,7.386181986223803,81.97940215862121,81.97940215862121,120.03574888913087
mp-1228984,AlCu(PSe3)2,-4.523998834999999,-0.55887899333482,0.0,0.8799,True,4.390067296366625,236.87285777660955,10,True,False,"Al,Cu,P,Se",4,Trigonal,146,R3,7.815990734674267,7.815990734674267,7.815990976621774,47.42105786769926,47.42105786769926,47.42105445321064
mp-1182477,AsN(OF3)2,-5.328754723,-1.890011069249999,0.0,2.7441999999999993,False,2.657416696194527,146.79283027722812,10,True,False,"As,F,N,O",4,Monoclinic,12,C2/m,5.264346861301695,5.264346861301695,5.329055185986067,85.78841530157547,85.78841530157547,91.75762744512807
mp-1183269,AsN(OF3)2,-5.317491214999999,-1.87874756125,0.011263508,2.7607,False,2.940310103539661,132.66958392951483,10,True,False,"As,F,N,O",4,Monoclinic,12,C2/m,4.862623316153741,4.862623316153741,5.719823354203258,85.11624876229905,85.11624876229905,98.3585045093797
mp-611316,AsN(OF3)2,-5.294180137,-1.8554364832499992,0.034574586000000004,2.6593,False,2.663374548298367,146.46446115120543,10,False,False,"As,F,N,O",4,Monoclinic,12,C2/m,4.920676781659713,4.920676781659713,6.141277267580499,85.50958825130802,85.50958825130802,97.27125969490528
mp-8500,AsS2NF6,-4.982985439,-1.70635444375,0.10843445188988,2.608,False,2.508973246392811,176.74354700857842,10,False,False,"As,F,N,S",4,Monoclinic,12,C2/m,5.868680100242728,5.868680100242728,5.45920759450536,88.0034748826001,88.0034748826001,70.19728215920243
mp-1206237,Ba2AgIO6,-5.665915748,-1.8766491276666661,0.0033044253124980003,0.12660000000000002,False,6.3888076361701,157.35779143893134,10,True,False,"Ag,Ba,I,O",4,Cubic,225,Fm-3m,6.059931984826397,6.059931984826397,6.059931984826397,59.99999999999999,59.99999999999999,59.99999999999999
